IsActive,Number,Name,Date,Notes,Barcode,ArticleAccountCoding,Unit,NetPrice,EU,stock,PurchasePrice,StockBalance,price_with_taxes,price_with_taxes (-20%)
TRUE,CB10103,(AD-215A) - Drivaksel høyre,1633427442,,,90,PCE,,50,3,540,,1600,1280
TRUE,CB10104,(PG-412) - (MI180LN) - Drivaksel,1633427443,,,90,PCE,,71,3,766.8,,3100,2480
TRUE,CB10105,(PG-210A) - Drivaksel høyre,1633427444,,,90,PCE,,50,3,540,,1750,1400
TRUE,CB10106,(CH-130A) - Drivaksel venstre,1633427445,,,90,PCE,,70,3,756,,2450,1960
TRUE,CB10107,(FI-216) -Drivaksel høyre,1633427446,,,90,PCE,,63,3,680.4,,2750,2200
TRUE,CB10108,(RV-138A) - Drivaksel,1633427447,,,90,PCE,,148,3,1598.4,,3140,2512
TRUE,CB10109,(CT-217A) - Drivaksel høyre,1633427448,,,90,PCE,,42,3,453.6,,1616,1292.8
TRUE,CB10110,(BM-122) - Drivaksel venstre,1633427449,,,90,PCE,,118,3,1274.4,,2999,2399.2
TRUE,CB10111,(BM-301A) - Drivaksel,1633427450,,,90,PCE,,53,3,572.4,,1860,1488
TRUE,CB10112,(VO-204A) - Drivaksel høyre,1633427451,,,90,PCE,,65,3,702,,2100,1680
TRUE,CB10113,(VO-239A) - Drivaksel høyre,1633427452,,,90,PCE,,105,3,1134,,3250,2600
TRUE,CB10115,(CT-209A) - Drivaksel høyre,1633427453,,,90,PCE,,63,3,680.4,,2200,1760
TRUE,CB10116,(BM-304A) - Drivaksel,1633427454,,,90,PCE,,60,3,648,,2290,1832
TRUE,CB10117,(VW-285) - Drivaksel høyre,1633427455,,,90,PCE,,101,3,1090.8,,3350,2680
TRUE,CB10119,(BM-206) - Drivaksel høyre,1633427456,,,90,PCE,,62,3,669.6,,2490,1992
TRUE,CB10120,(FD-257) - Drivaksel høyre,1633427457,,,90,PCE,,59,3,637.2,,2250,1800
TRUE,CB10121,(FD-503) - Drivaksel,1633427458,,,90,PCE,,87,3,939.6,,3250,2600
TRUE,CB10123,(VO-114A)- Drivaksel venstre,1633427459,,,90,PCE,20000000,71,2,766.8,,2500,2000
TRUE,CB10129,"(TO-322)- Drivaksel, Toyota, Framaksel",1633427460,,,90,PCE,24800000,87,2,939.6,,3100,2480
TRUE,CB10130,(VO-113A) - Drivaksel venstre,1633427461,,,90,PCE,22000000,137,2,1479.6,,2750,2200
TRUE,CB10131,(VO-110A) Drivaksel venstre,1633427462,,,90,PCE,16800000,56,2,604.8,,2100,1680
TRUE,CB10132,(FD-133) - Drivaksel venstre foran,1633427463,,,90,PCE,20280000,53,2,572.4,,2535,2028
TRUE,CB10135,(MB-191A) - Drivaksel venstre,1633427464,,,90,PCE,,163,2,1760.4,,6999,5599.2
TRUE,CB10137,(MB-105A) - Drivaksel venstre,1633427465,,,90,PCE,,50,2,540,,1930,1544
TRUE,CB10138,(MB-116) - Drivaksel venstre,1633427466,,,90,PCE,,65,2,702,,3250,2600
TRUE,CB10140,(MB-126) - Drivaksel venstre,1633427467,,,90,PCE,,57,2,615.6,,2960,2368
TRUE,CB10142,(MB-1610) - (1614-210LH)- Drivaksel,1633427468,,,90,PCE,,81,2,874.8,,4480,3584
TRUE,CB10144,(MB-292A) -(1614-203RH) - Drivaksel,1633427469,,,90,PCE,,163,2,1760.4,,5999,4799.2
TRUE,CB10145,(MB-603A) - (235009 ) - Drivaksel,1633427470,,,90,PCE,,60,2,648,,2680,2144
TRUE,CB10146,(MB-204)- Drivaksel høyre,1633427471,,,90,PCE,,75,2,810,,4999,3999.2
TRUE,CB10147,(MB-205A) - Drivaksel høyre,1633427472,,,90,PCE,,55,2,594,,2422,1937.6
